Srno,Company_Name,Bid_Opening_Date,Bid_Closing_Date,Face_Value,Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Issue_size,Fresh_issue,Offer_for_sale,Basis_of_Allotment_Date,Initiation_of_refunds,Credit_of_shares_to_demat_account,Listing_date,Listing_day,Listing_year,BSE_script_code,NSE_symbol,Listing_in,ISIN,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Registrar_Name,Pre_Issue_Share_Holding,Post_Issue_Share_Holding,NSE_Listing_day_open,NSE_Listing_day_low,NSE_Listing_day_high,NSE_Listing_day_last_trade,NSE_Listing_day_volume,NSE_SME_Listing_day_open,NSE_SME_Listing_day_low,NSE_SME_Listing_day_high,NSE_SME_Listing_day_last_trade,NSE_SME_Listing_day_volume,BSE_Listing_day_open,BSE_Listing_day_low,BSE_Listing_day_high,BSE_Listing_day_last_trade,BSE_Listing_day_volume,BSE_SME_Listing_day_open,BSE_SME_Listing_day_low,BSE_SME_Listing_day_high,BSE_SME_Listing_day_last_trade,BSE_SME_Listing_day_volume
803,Yasho Industries Limited ,"Mar 19, 2018","Mar 21, 2018",10,100,100,1200,BSE SME,"2,899,200 Eq Shares of ₹10 (aggregating up to ₹28.99 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, April 2, 2018",Monday,2018,541167,NaN,MT,INE616Z01012,NaN,1.8,0.41,1.11,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.25,100,101.25,101.25,273600
804,Giriraj Civil Developers Ltd ,"Mar 19, 2018","Mar 21, 2018",10,100,100,1200,NSE SME,"900,000 Eq Shares of ₹10 (aggregating up to ₹9.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, April 2, 2018",Monday,2018,NaN,GIRIRAJ,NaN,INE614Z01017,NaN,0.96,1.36,1.16,Cameo Corporate Services Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101,100.1,101,100.1,190800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
805,Mittal Life Style Ltd ,"Mar 19, 2018","Mar 21, 2018",10,21,21,6000,NSE SME,"2,100,000 Eq Shares of ₹10 (aggregating up to ₹4.41 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, April 2, 2018",Monday,2018,NaN,MITTAL,NaN,INE997Y01019,NaN,2.37,0.58,1.47,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,21,21,21,6000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
806,Continental Seeds and Chemicals Ltd ,"Mar 21, 2018","Mar 23, 2018",10,26,26,4000,NSE SME,"1,620,000 Eq Shares of ₹10 (aggregating up to ₹4.21 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, April 4, 2018",Wednesday,2018,NaN,CONTI,NaN,INE340Z01019,NaN,0.56,2.36,1.46,MAS Services Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,24.7,27.3,25.75,360000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
807,Orissa Bengal Carrier Limited ,"Mar 22, 2018","Mar 26, 2018",10,30,30,4000,BSE SME,"5,564,000 Eq Shares of ₹10 (aggregating up to ₹16.69 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, April 5, 2018",Thursday,2018,541206,OBCL,M,INE426Z01016,NaN,1.15,1.44,1.3,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.9,31.9,33.45,33.45,1132000
808,Taylormade Renewables Limited ,"Mar 22, 2018","Mar 27, 2018",10,35,35,4000,BSE SME,"3,240,000 Eq Shares of ₹10 (aggregating up to ₹11.34 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, April 6, 2018",Friday,2018,541228,NaN,MT,INE459Z01017,NaN,1.75,0.74,1.25,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36,35.8,37.8,37.8,112000
809,Lemon Tree Hotels Limited ,"Mar 26, 2018","Mar 28, 2018",10,54,56,265,"BSE, NSE","185,479,400 Eq Shares of ₹10 (aggregating up to ₹1,038.68 Cr)",NaN,NaN,"Apr 4, 2018","Apr 5, 2018","Apr 6, 2018","Monday, April 9, 2018",Monday,2018,541233,LEMONTREE,B,INE970X01018,3.88,0.12,0.12,1.19,KFintech Private Limited,NaN,NaN,61.6,57.25,73.9,71.65,67619635,NaN,NaN,NaN,NaN,NaN,61.6,57.3,73.9,71.6,8800931,NaN,NaN,NaN,NaN,NaN
810,AVG Logistics Limited ,"Mar 28, 2018","Apr 3, 2018",10,105,107,1200,NSE SME,"3,090,000 Eq Shares of ₹10 (aggregating up to ₹33.06 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, April 11, 2018",Wednesday,2018,NaN,AVG,NaN,INE680Z01018,NaN,2.28,1.08,1.92,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,113,112,118.65,118.55,530400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
811,Penta Gold Limited ,"Mar 23, 2018","Mar 27, 2018",10,37,37,3000,NSE SME,"3,600,000 Eq Shares of ₹10 (aggregating up to ₹13.32 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, April 25, 2018",Wednesday,2018,NaN,PENTAGOLD,NaN,INE175Y01012,NaN,1.02,0.16,0.59,KFintech Private Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,36.5,37,37,507000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
812,S.S. Infrastructure Development Consultants Limited ,"Mar 28, 2018","Apr 5, 2018",10,37,40,3000,NSE SME,"4,278,000 Eq Shares of ₹10 (aggregating up to ₹17.11 Cr)",NaN,NaN,"Apr 10, 2018","Apr 11, 2018","Apr 12, 2018","Thursday, April 12, 2018",Thursday,2018,NaN,SSINFRA,NaN,INE182Z01015,NaN,14.43,6.82,11.19,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.95,41.2,43.9,43.1,1005000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
